relevant_date,instance_type,stack_type,env,cost,hours,DefaultVCpus,core_seconds_used,cost_per_core_hour
2023-06-01T00:00:00.000+0000,c5.2xlarge,cmp,prod,29.52,120,8,3456000,0.03075
2023-06-01T00:00:00.000+0000,c5.2xlarge,io,prod,41.328,168,8,4838400,0.030750000000000000
2023-06-01T00:00:00.000+0000,m5.4xlarge,cmp,prod,108.17858733190000,243.296696,16,14013889.6896,0.027789780212402700
2023-06-01T00:00:00.000+0000,m5a.4xlarge,cmp,prod,7.1856195847000000,12.811116,16,737920.2816,0.035055589539876900
2023-06-01T00:00:00.000+0000,m5ad.8xlarge,io,prod,81.15264816200000,67.402781,32,7764800.371200000,0.0376248608356753
2023-06-01T00:00:00.000+0000,m5d.8xlarge,io,prod,2151.128862691,2096.748019,32,241545371.7888,0.0320604938456812
2023-06-01T00:00:00.000+0000,m5dn.8xlarge,io,prod,25.1584150891,20.983337,32,2417280.4224,0.03746784753704210
2023-06-01T00:00:00.000+0000,m5n.4xlarge,cmp,prod,40.1961330843,68.306107,16,3934431.7632,0.03677941004262990
2023-06-01T00:00:00.000+0000,m6a.4xlarge,cmp,prod,75.7589257712,133.718062,16,7702160.3712,0.03540982265133340
2023-06-01T00:00:00.000+0000,m6i.4xlarge,cmp,prod,0.0223315677,0.040833,16,2351.9808000000000,0.03418125000000000
